Step,px,py,pz,vx,vy,vz,fx,fy,fz
18,132.89427894585918,232.20396320483732,350.3314877683571,0.24504421624790468,0.1290794337528241,0.22795164710262622,0,0,0
19,135.38175362394898,233.4680753592271,352.5906042677256,0.25244590158973385,0.12371640047320734,0.22386727728052008,0,0,0
20,137.94309918850558,234.67776031996365,354.80874659520805,0.2598182504670103,0.11819410043762886,0.21975689208481095,0,0,0
21,140.57801798833762,235.83142861279728,356.9856569828891,0.2671604061470632,0.11251317538658921,0.21562096917890644,0,0,0
22,143.28620382238785,236.92749727311454,359.12108245437264,0.27447151540594045,0.10667428549423,0.2114599891939238,0,0,0
23,146.06734197531634,237.9643900298928,361.21477485417955,0.28175072862756084,0.1006781092916158,0.20727443567283627,0,0,0
24,148.92110925407334,238.94053748887708,363.26649087658575,0.2889971999024472,0.09452534358788281,0.20306479501428104,0,0,0
25,151.8471740254571,239.8543773149576,365.27599209389655,0.2962100871260284,0.08821670338926337,0.19883155641603548,0,0,0
26,154.8451962546526,240.70435441372697,367.2430449841539,0.3033885520964995,0.0817529218159959,0.19457521181816792,0,0,0
27,157.91482754474666,241.48892111219624,369.1674209582739,0.3105317606122283,0.0751347500171298,0.19029625584586987,0,0,0
28,161.0557111772148,242.20653733864808,371.04889638661075,0.31763888256869705,0.06836295708323518,0.18599518575197613,0,0,0
29,164.26748215337503,242.85567080160695,372.8872526249446,0.3247090920549678,0.06143832995702776,0.18167250135917964,0,0,0
30,167.54976723680406,243.43479716790503,374.6822760398899,0.3317415674496608,0.054361673341919034,0.17732870500194756,0,0,0
31,170.9021849967106,243.94240023982331,376.43375803372163,0.3387354915164343,0.047133809608502594,0.1729643014681455,0,0,0
32,174.324345852261,244.37697213128726,378.14149506861594,0.3456900514989543,0.039755578698987326,0.16857979794037684,0,0,0
33,177.81585211785216,244.73701344309669,379.80528869030337,0.3526044392153447,0.03222783802958865,0.16417570393704334,0,0,0
34,181.37629804932604,245.02103343716922,381.4249455511308,0.3594778511521045,0.02455146239088911,0.15975253125313477,0,0,0
35,185.00526989112072,245.22755020977746,383.00027743253025,0.366309488557484,0.016727343846179875,0.15531079390075364,0,0,0
36,188.70234592435256,245.35509086375933,384.5311012668916,0.3730985575343064,0.008756391627795075,0.1508510080493825,0,0,0
37,192.46709651582364,245.4021916796819,386.0172391588366,0.37984426913222563,0.0006395320314508748,0.1463736919659004,0,0,0
38,196.29908416794902,245.36739828593858,387.45851840589194,0.3865458394394099,-0.007622291691398348,0.14187936595435557,0,0,0
39,200.19786356959784,245.24926582776015,388.8547715185587,0.3932024896736388,-0.01602811944317422,0.13736855229550166,0,0,0
40,204.1629816478424,245.0463591351197,390.2058362397764,0.39981344627280496,-0.024576974391746283,0.13284177518610388,0,0,0
41,208.19397762060933,244.7572528895122,391.51155556377836,0.4063779409848088,-0.033267863083948586,0.12829956067802273,0,0,0
42,212.29038305022652,244.38053178958918,392.7717777543375,0.4128952109568362,-0.04209977556102782,0.12374243661708209,0,0,0
43,216.45172189785987,243.91479071562952,393.98635636239925,0.41936449882400895,-0.0510716854760095,0.1191709325817288,0,0,0
44,220.67751057883308,243.3586348928267,395.1551502431002,0.4257850527973973,-0.06018255021296866,0.11458557982149092,0,0,0
45,224.96725801882462,242.71068005337415,396.2780235721706,0.4321561267513844,-0.0694313110081911,0.10998691119524186,0,0,0
46,229.3204657109349,241.96955259732954,397.3548458617181,0.4384769803103727,-0.07881689307321119,0.10537546110927734,0,0,0
47,233.73662777361727,241.13388975223927,398.38549197539186,0.44474687893482245,-0.08833820571971186,0.10075176545521268,0,0,0
48,238.21523100946587,240.20233973150485,399.36984214292426,0.45096509400661156,-0.09799414248627232,0.09611636154770739,0,0,0
49,242.75575496485382,239.17356189147247,400.3077819740495,0.4571309029137076,-0.1077835812669487,0.09146978806202442,0,0,0
50,247.35767199041456,238.04622688722787,401.1992024717965,0.4632435891341417,-0.11770538444167283,0.08681258497143131,0,0,0
51,252.02044730235937,236.81901682707797,402.04400004515577,0.4693024423192748,-0.1277583990084538,0.08214529348445042,0,0,0
52,256.7435390446241,235.49062542570164,402.84207652111695,0.47530675837634656,-0.13794145671736702,0.07746845598196575,0,0,0
